artist_id,name,release
7d9gYifXh5njpsNEvCmLLP,WAYO,2020-06-05
5KsduuDNWzt65TaHzmtciv,MORE & MORE,2020-06-01
2gertXS08whDTzBWfmewPO,It'z Me,2020-03-09
0iUESqGVBginzy7gCYMvt2,When We Were Us - The 1st Mini Album,2020-06-08
5vJNAlQeTf9lsulO1YlmSt,eight,2020-05-06
75sPv82oaDKYjtuuS4l3Vc,Delight - The 2nd Mini Album,2020-05-25
0zhGddZ83RpCgnelKWa2qS,D-2,2020-05-22
21Rd8YU3BI7P4PVtfsf9ji,My Friend,2020-05-30
2fL64wNyyZ4BwwRImYeora,The Dream Chapter: ETERNITY,2020-05-18
3rVtm00UfbuzWOewdm4iYM,‘The ReVe Festival’ Finale,2019-12-23
0mWs7UThGJG413FaTzPq9Y,Look,2020-04-13
64F7bFLt8ULAfBl2L4Pyv4,NCT #127 Neo Zone: The Final Round - The 2nd Album Repackage,2020-05-19
44BCatQBdneFkyzOVrR0M4,FANTASIA X,2020-05-26
41rtmYpSvv0s6p4TJwTzrR,Stay Tonight,2020-04-27
5ByQ39IHGxrddAwQcnxvoj,reminiscence,2020-02-03
57sl8AvqVqm4Fadre0z8FQ,I trust,2020-04-06
3JX0hnu8b55RtbtEdUSYor,The Book of Us : The Demon,2020-05-11
7J8Kp48L7RdLkpjSVrO5PY,NONSTOP,2020-04-27
1V5ilz8ghPl1PZJA1hbw3r,Reload,2020-04-29
6XqSbtKtmWkEAYbXfzFkV6,The W,2020-05-26
5lX6uJNNwzEZU7TF1RyAdT,DYE,2020-04-20
1wnPosDt7DsSYDDLQ2XBdh,Puberty BookⅡ Pum,2020-05-13
6mJZTV8lCqnwftYZa94bXS,MAP OF THE SOUL : 7,2020-02-21
7LYZM7I172wUjIKjCnxuAQ,Any song,2020-01-13
1pLSlOXtHKPoSoB6ovnIAK,SPIT IT OUT,2020-04-23
7HXqq0fokRpOKG0bQW4xnB,MAP OF THE SOUL : 7,2020-02-21
4RR8ROIGix5CbCGlXHA53I,Black Swan,2020-01-17
4yAAAWwN4WaxefmncjDsMw,BLOOM*IZ,2020-02-17
1nPB6o7EjGvUORXlnioEPk,Happy,2020-05-04
3TTkDOcSzRQCvGMT7VmmPE,TREASURE EPILOGUE : Action To Answer,2020-01-06
6JnGKQyvg5QKS9FOyjFkvG,KARD 4th Mini Album 'RED MOON',2020-02-12
6rh15TQEKLTUVGzjeSHWbB,Hold,2020-03-26
0wOlHVp82SZuQisxdigqkP,i DECIDE,2020-02-06
7no7EZnKgoRWBbGMjZo9gB,1st Album [Dystopia : The Tree of Language],2020-02-18
6rOL2mghTfDyx5CY0eU1Dn,[#],2020-02-05
54mKbSh20yke318bPZMsjb,CYAN,2020-03-24
0ygafCgqBc6OwdjsmQEh7G,HIDEOUT: REMEMBER WHO WE ARE - SEASON1.,2020-04-14
3uMb3hF3aAlK7wPU4w8o9D,IN ITS TIME,2020-03-24
5VnB3wqkqy6bcf9eKGTFOo,Remember,2020-04-09
71SzCgInpeGCfcmn4FbEth,Mixtape : On Track,2020-03-25
32o8mUN1uID4VlBUrsCN2f,TIMELESS - The 9th Album Repackage,2020-01-28
6xaWLppjby7704k6R7CNHB,Spring,2020-04-09
2Bmk3UzqXangMY3WNssyOh,ONG SEONG WU 1st Mini Album <LAYERS>,2020-03-25
5FFZIyxJB33f3kgpCyDURC,5NALLY,2020-02-13
6FVK3km0FtSdGF4ZdWkrVH,回:LABYRINTH,2020-02-03
4RYmZ3shUlylRyXu3YS7PX,ONE&ONLY,2020-02-23
2UF3SkoMBUZZf5n6sCBUft,PEOPLE,2020-04-02
3jTAMtXz4VlRW6ZT00oaUj,Cassette,2020-03-11
5NBUq1NAh87uRsSqTxg2LX,Refresh (feat. Kang Minkyung),2020-03-18
0FYleVYJRr4O5tELl0y7pj,Chocolate - The 1st Mini Album,2020-04-06
5YHFKsjb0e5q8Smb2CBUl7,NCT #127 Neo Zone - The 2nd Album,2020-03-06
68GNh1ZjfSewE8uBCH3UnR,SOLO,2018-11-12
3r5m8utqRZYJnpep7xxVyq,LOVE SHOT– The 5th Album Repackage,2018-12-13
2gHd5bCrj42s8nwwXBALd4,IT'z Different,2019-02-13
2QDzBw32zlyvFtfeRCoSFH,I Wanna Be - The 1st Album Repackage,2019-03-04
7rNIvLwIpB2mwOzk20iqIl,RBB - The 5th Mini Album,2018-11-30
1HwIUaaEuRsxsIyssqtGLH,SQUARE UP,2018-06-15
0aMI0Kctp6xwSnRFakNF3D,DON’T MESS UP MY TEMPO – The 5th Album,2018-11-02
0OkJThJls8FO1lutMzMDJ0,The Perfect Red Velvet - The 2nd Album Repackage,2018-01-29
0rvrbZvaDX5S9ZBhwOwFfH,Perfect Velvet - The 2nd Album,2017-11-17
6369mPjmE105oD1ECF7WiA,Lil' Touch - The 1st Single,2018-09-05
4ghBzVOTFoeKPPmyNKjVtI,BBIBBI,2018-10-10
53pJcIJBdlm5rhVhjSnvHn,THE WAR - The 4th Album,2017-07-18
3xEPyp7h78uULpDPuKvokH,Wow Thing,2018-09-28
4W6K0DP1YlZ48JlvdKCkZh,#Cookie Jar,2018-07-04
6YL9J0E6PGtYzkhyMxnmXd,The Red - The 1st Album,2015-09-09
3KAJvo62RNQEtXwIyB5rzX,NCT 2018 EMPATHY,2018-03-14
14zRuZjpOkB4IrUkFsrN31,Blooming Days - The 2nd Mini Album,2018-04-10
4eKdn0skJCidO2wqIJyCgB,Lion Heart - The 5th Album,2015-08-19
5V8n6fqyAPxvFTibPhQVcp,Palette,2017-04-21
6yJdchE7ARS996BxRgplFH,4 Walls - The 4th Album,2015-10-27
0HtGtnnnFeWmtvgNFg0dr1,SELFISH,2018-05-23
7qXTHawuBsARg5NdkZM5cU,Hey Mama!– The 1st Mini Album,2016-10-31
5YJFl4cNetPk0Tn4tqPRHk,We Young,2018-09-14
0xYQcPVyEEegJlTXLttWUx,Something New - The 3rd Mini Album,2018-06-18
60ySfrb8zjJooMlVbpWGHG,FACE - The 1st Album,2018-11-26
4rMH4zG5fuxIjOQxdLWBUs,GIRLS,2017-05-24
1NgwpxtZFd1x4DbC74V9bO,Take,2018-06-27
1ukBQWhQwWKqTGgs0YzRzU,Why - The 2nd Mini Album,2016-06-28
2NbpxzWVFJfUuNXbIVeWhd,MAGIC,2018-05-09
6DlCl3hBP1Gwhn0tgitGfN,My Voice - The 1st Album,2017-02-28
4kYQNWH5GVugfhMGGjosMS,Teach You,2018-09-28
0lrffiGGEis1nMOAdLgVya,Don't Say No - The 1st Mini Album,2017-01-17
