artist_id,name
1slszTGbkp1uNnI6G5uD0X,BANG YE DAM
7n2Ycct7Beij7Dj7meI4X0,TWICE
2KC9Qb60EaY0kW4eH68vr3,ITZY
5Kdp1Iq26eCz7XbPxOgt7F,SUPER JUNIOR-K.R.Y.
3HqSLMAZ3g3d5poNaI7GOU,IU
0ebNdVaOfp6N0oZ1guIxM8,SUGA
4ufh0WuMZh6y4Dmdnklvdl,BAEKHYUN
5RmQ8k4l3HZ8JoPb4mNsML,Agust D
2PSJ6YriU7JsFucxACpU7Y,CHUNG HA
2u7CP5T30c8ctenzXgEV1W,pH-1
0ghlgldX5Dd6720Q3qFyQB,TOMORROW X TOGETHER
1z4g3DjTBBZKhvAroFlhOM,Red Velvet
2uWcrwgWmZcQc3IPBs3tfU,Apink
7f4ignuCJhLXfZ9giKT7rH,NCT 127
4TnGh5PKbSjpYqpIdlW5nz,Monsta X
3ZZzT0naD25RhY2uZvIKkJ,EVERGLOW
2AfmfGFbe0A0WsTYm0SDTx,(G)I-DLE
5TnQc2N1iKlFjYD7CPGvFc,DAY6
2019zR22qK2RBvCqtudBaI,OH MY GIRL
1gBUSTR3TyDdTVFIaQnc02,NCT DREAM
0tBYMeHDDJCzRuREuCTWi7,PARK JI HOON
6nfDaffa50mKtEOwR8g4df,GOT7
4k5fFEYgkWYrYvtOK3zVBl,Bolbbalgan4
3Nrfpe0tUJi4K4DXYWgMUX,BTS
5WUlDfRSoLAfcVSX1WnrxN,Sia
4XpUIb8uuNlIWVKmgKZXC0,ZICO
5cYcI546S8Lf97m4mNdYLD,Solar
5r1tUTxVSgvBHnoDuDODPH,IZ*ONE
3qNVuliS40BLgXGxhdBdqu,TAEYEON
68KmkJeZGfwe1OUaivBa2L,ATEEZ
2JhAlkmukNvarUpGhTFXUQ,KARD
5DuzBeOgFwViFcv00Q5PFb,WINNER
5qRSs6mvI17zrkJpOHkCoM,iKON
5V1qsQHdXNm4ZEZHWvFnqQ,DREAMCATCHER
52zMTJCKluDlFwMQWmccY7,LOONA
5vGoWnZO65NBgiZYBmi3iW,KANG DANIEL
6FkhUhUwSPl3mGB6mmE8wn,CRAVITY
3CVYSpM7nfHFG5qCTW7Ht9,ONEUS
2dIgFjalVxs4ThymZ67YCE,Stray Kids
6gzXCdfYfFe5XKhPKkYqxV,SUPER JUNIOR
59dDRtMe8DILtibke8FWLK,MCND
01APAUkFb3XB5exrmi8tkQ,ONG SEONG WU
5j4ZfrjfKJhMBbDgTFxIwB,LEE DAE HWI
4y0wFJ5jmCUNRLZfsw1I7g,AB6IX
0qlWcS66ohOIi0M8JZwPft,GFRIEND
4pz4uzOMpJQyV8UTsDy4H8,ASTRO
4WnO2VmlwdTX77ANsThWLQ,Code Kunst
7cVZApDoQZpS447nHTsNqu,LEE HI
6DNTezBmjBm68oYPCENCcA,DEMIAN
0hT0UrjmzkLJouAT52ck6j,Park Kyung
15Dv0lqpiL5zD6OqqwUEP4,KANG MINKYUNG
7FiAkNWMb6ZBYI8tbQLuIS,MAX
250b0Wlc5Vk0CoUsaCY84M,JENNIE
3cjEqqelV9zb4BYE3qDQ4O,EXO
6XXKPxRX2WWPPtfodzpc2v,KEY
6Xg22wJOAcnvPUfk5WvODH,SOYEON of (G)I-DLE
41MozSoPIsD1dJM0CLPjZF,BLACKPINK
1foL9hLC9M6U94dINtOYfb,Girls' Generation-Oh!GG
2QM5S4yO6xHgnNvF0nbZZq,SEULGI
0tZl5OAXf9jYXFmfRGejs2,SinB
0LyfQWJT6nXafLPZqxe9Of,Various Artists
48eO052eSDcn8aTxiv6QaG,NCT
3paGCCtX1Xr4Gx53mSeZuQ,NCT U
3Lz3vEN23Fw0hIelrYEzUD,EXO-CBX
0Sadg1vgvaPqGTOjxu0N6c,Girls' Generation
3wRA5UYoo08BBKJnzyKkpF,f(x)
1eTft3tXynrKdo6XD7QHLL,Moon Byul
6jV25rzTKQ2zMgrqHha1V5,CHANYEOL
79R17q4kiPsimHDtdOlN2L,SEHUN
3b4kLCI0ZJW47TFsNRqgCb,SOYOU
72nLe76yBFSlP6VBzME358,SHAUN
2lkCfFklQDBPlQzS4tR3VP,Tiffany Young
5uM1Et50auro2hTS6ZLcmT,SEOHYUN
1htfe3DR9bbdOq0NeCIE2W,Jessica
2FgZrgTMX6Sk0VNcOsEPmm,Punch
2wTLheTmMcFCA4hdY8hZJP,SISTAR
5Q0U6ogBrMX2oxmxy5OTzU,SISTAR 19
1R52cwGf75yTf7I3Q0Irf8,T-ara
6udveWUgX4vu75FF0DTrXV,TAEYANG
30b9WulBM8sFuBo17nNq9c,G-DRAGON
31oLAWK0QuX1XLh6FmlTye,Soyou & Junggigo
2dd5mrQZvg6SmahdgVKDzh,PSY
05hmzTi2NLYxQ7Uu7ES8kk,Eunha
2e4G04F77jxVuDYo44TCSm,Loco
6wPBIyIIMxoqgux29bGF8I,EXO-K
5WUom9mTTEewPdUmI4qnQi,NATURE
0tzSBCPJZmHTdOA3ZV2mN3,CL
7AKHnZVqwXYuUwWJ8UGL5q,Girls' Generation-TTS
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa
4o7tWrzQOqarDtTMWD2HV9,LAY
4Kxlr1PRlDKEB0ekOCyHgX,BIGBANG
6MoXcK2GyGg7FIyxPU5yW6,SUNMI
2CvaqAMMsX576VBehaJ0Wx,Wanna One
6QyO41KctzGc70mVaVnXQO,CLC
1xs6WFotNQSXweo0GXrS0O,EXID
6cdC1cwqh3eJAXaxXJt2jv,4Minute
3UwlejyX2b458azZ7eCnHb,HyunA
6VJXRJvRRyLv99RZbXJ8RO,JBJ
0gdWU9IX6LIiuPvXh95pas,NU'EST W
13rF01aOogvnkuQXOlgTW8,TAEMIN
6BeO1KuAWBqFriL1mLHtNc,Leslie Grace
7MP4jhYmFEgb0AtiOkw55s,Play-N-Skillz
1wKpMkucynaTfG8lyPprYV,PENTAGON
6v5cGuRCZKq08nLI4WXJuB,Nucksal
2hRQKC0gqlZGPrmUKbcchR,SHINee
54gWVQFHf8IIqbjxAoOarN,AOA
6nVMMEywS5Y4tsHPKx1nIo,TVXQ!
0XATRDCYuuGhk0oE7C0o5G,Mamamoo
4zTNiArZgV1SKWATSFshVI,PRISTIN V
78sJswwVn4P8aEhkF4K6fQ,Hyolyn
3kPEBSt7qgVoRZSbIXMr7W,GRAY
0CmvFWTX9zmMNCUi6fHtAx,THE BOYZ
5LWkv2hDbDwZL3zNwZYNPx,Weki Meki
3HJVw8aEtFqoc3raJVE8am,GD X TAEYANG
3offPqpKAKmpQkIdWnjzkc,Teen Top
5RR0MLwcjc87wjSw2JYdwx,MOMOLAND
64k5e9kV9MdukXjFrR5R37,Jessi
1klFdLh3pak3eOtJP0styY,Triple H
1l0mKo96Jh9HVYONcRl3Yp,2NE1
6hhqsQZhtp9hfaZhSd0VSD,WJSN
0X2BH1fck6amBIoJhDVmmJ,Ellie Goulding
5fMUXHkw8R8eOP2RNVYEZX,Diplo
5fI4xffqGRGQvICSlJreMF,GWSN
4gOc8TsQed9eqnqJct2c5v,K/DA
2kRfqPViCqYdSGhYSM9R0Q,Madison Beer
0tRFWXqKBBQcu5oFVOgVzX,Jaira Burns
47mIJdHORyRerp4os813jD,League of Legends
24nUVBIlCGi4twz4nYxJum,fromis_9
3g34PW5oNmDBxMVUTzx2XK,Lovelyz
70ptvBQye3QMlbuTKrF1qb,Block B - BASTARZ
5LpAX68lituNSGh7aJfsyr,ANS
5dEBuZjTtE68uDgCs23Kuv,BVNDIT
1Y3klzPXyHrinIk3tQ20Se,NATTY
5TxoDjQBAZwKnuycBAmHZ3,NOIR
0iQGSzpJ0G0lsugv8jsJHd,OnlyOneOf
738AtLtkMcNmQrk64Pxl7Q,SPECTRUM
5iKOmg1wFizVwajKeiyzvf,SIYEON (Dreamcatcher)
1fWUcRSok57yRm8gPKj1Fc,VERIVERY
0vCyvInXqS7Y2NPLZ7Ybvw,Jiyeon
6bWaRj4L4PyJ4uv2wN47Ny,HINAPIA
2DvzRlivZ3gnMF2Z8xhflM,SoNakByul
75HFBU7IxOt15gbgSM4IYV,WENGIE
4Zg4Iqd7gnetSR51p7Lz5i,MINNIE of (G)I-DLE
6gEWl778wJTkq4Uk5eBvgD,MC MONG
5t5zmsIdTDRqDeI17tilpd,Song Ga-in
0u06YeydlBk3awnk5KgdBx,Chancellor
6ZZafCTzyk1yjqEES63cMm,1THE9
65SWpUO42tdFbEhdfj1ryf,3YE
68pkG6Uj3mPO0QPc8kJeWb,Ho1iday 홀리데이
6C4irZ60X8G7UimMRQiCcg,X1
5LHu1iF8m0XtRBEJbbwSoo,Woosung
3riGN5iBVBk5naQxUDr5fk,VAV
3EiLUeyEcA6fbRPSHkG5kb,De La Ghetto
2YXlVLKq3X3soXd2aXUtIT,Jamie
2lby3xhBmze7CuePq9nSxk,GMOST
6dTCGU3ZXmHV6roc3mP7Q5,EUN JIWON
0rK0ZPLX4fKnFSbqs6gYfY,Blue.D
7LOmc7gyMVMOWF8qwEdn2X,SF9
1ukccHTdm6Xjmag0QLNJBx,Miso
25uiPmTg16RbhZWAqwLBy5,Charli XCX
28y6CyJNkGNjJQKrlx4AmN,HRVY
25KT93FeotUTHC1dbLasxi,A.C.E
1XypuZM0Sr5T2aIhnn2bfh,Big Marvel
48BSHaU3lXnM3pYHyeqLXN,Eyedi
4epPY1AW9lQeVUM1XaFiwi,LADIES' CODE
2TYMXWSySlq8RgLAYd8MCg,Nam Woo-hyun
5ZjBaiZiRUZx4AmlzOOc9R,Junoflo
2FLqlgckDKdmpBrvLAT5BM,Eric Nam
6aLdhHUqgdKE86xbtNmY8g,Crush
1KJKSM6Z1NTqcEHgNoUSbe,Girl Crush
5Pcx98OUnL52aGZRRQx5v8,DIA
0dfMk1lwRlX5Zmg2KHjwjN,R.Tee
2PZt7SATrAxsNG60Mqkan4,Anda
7bmYpVgQub656uNTu6qGNQ,Hwa Sa
4UeJgAodtmUXfxU1GoJUph,Saturday
14yLuCwlBqteUdBqx9soJV,SE7EN
37ZY7eIcTT28id2jfq8WYw,Woody
3o0wQ9s18mlYobc9ZqOs8i,FAVORITE
4fgfmrBHIWsUuHxeOPhv61,LEE MINHYUK
3OBkZ9NG8F0Fn4oNpg0yuU,HA SUNG WOON
0ziR2zN0NFcB4x1G3P8cW3,VICTON
5DIi2JWfQPTKffaVBlIYRn,Sik-K
4XDi67ZENZcbfKnvMnTYsI,Jay Park
2krUNMgFZYm5s4Nn0g91W9,HAON
4k2MyP64uZ78mvjKd1Ciq2,KIM WOO SEOK
6hrti7kBnnfAgy5Mq9wrQc,Ryu Su Jeong
1iQfn1B8V25iQoolQakyAZ,NU'EST
7qxo9RTWfEoFKN7XGtNV6V,SECRET NUMBER
4YXNoMVTHRt01jYaKXTumJ,Raiden
3hvinNZRzTLoREmqFiKr1b,Changmo
5qUAtC3NwSLYme4JqjlGfQ,Youngjae
1jpRO6feBr1rjOCSHzu3Xi,Choi Jungyoon
42xj5mBLvrFdW6tYns6mxs,RAVI
3uGFTJ7JMllvhgGpumieHF,Ailee
7lHJGLY9oGWjH6j05BLnt7,H&D
1Pr77yszl1ikj6k9sy4Cju,Kanto
3vhZuZdMksbnJwoE3AwpXq,Bumkey
5zkf2Na8DKKJmtWX5Xrx3m,SUHO
5x9WawpXGR82PWDFk9CKYQ,Cignature
4jCGRzuZkwo8CxboiANMEU,AleXa
3l9s67pOK4Stw9yW1wr0Bg,Loopy
5bho5EcZQVfGYfyH5rOJug,NeD
5PS3ZZE5bBiZ3Ct9HiRG2B,DeVita
5iwc2ZJnuU9g4F6JaAY6Zw,JI JIN SEOK
0IuYz7cj1RlVuOPouG0g8Q,Eian
3a0xHIHQPhhzgSOJzgB2Rz,TOO
4D9foUQxTrsS0w2BeyCD16,ONEWE
2MtHuR0W2idZdF7x4wddqq,Giriboy
5a8EJtOEbUJDF4RX3mKK02,Woo
3C6yGCM7b8QAjs1fTrEguw,Mood.
2aCSYXdXqJNaXk99vjYnkQ,WE IN THE ZONE
7mFGOWJEkdlJBCXcJ5EWi9,YOOK SUNGJAE
6LPOT9C3gvGQHxlZtMLHHg,YEZI
4FuRHFtCeoYaeeVDKyyvbS,Ovan
5XrsbWgv35l6TUBYGaBP22,SOHLHEE
0ztjVBmFk6OuHq6XBBwMI9,Trouble Maker
13kJgvU22LHMsJtGWLmx7W,Girl's Day
2QHTtUsN6Q13w3QHdfRqsK,Orange Caramel
7nqOGRxlXj7N2JYbgNEjYH,SEVENTEEN
