song_id,name,video_duration,popularity,video_id,album_id,song_num,disc_num
5QiiYSr4pJMPOESQznu2IC,WAYO,213,68,mV9-REbGB00,7d9gYifXh5njpsNEvCmLLP,1,1
3omvXShuRPM3zbDpWYqf5g,MORE & MORE,241,82,mH0_XpSHkZo,5KsduuDNWzt65TaHzmtciv,1,1
6tCssnvTUREcperDOUTqvA,WANNABE,219,81,fE2h3lGlOsk,2gertXS08whDTzBWfmewPO,1,1
2f4o2u8yAANvg3hQ8BNm4Q,When We Were Us,249,49,n0LZmB2UjxA,0iUESqGVBginzy7gCYMvt2,1,1
0pYacDCZuRhcrwGUA5nTBe,eight(Prod.&Feat. SUGA of BTS),222,85,TgOu00Mf3kI,5vJNAlQeTf9lsulO1YlmSt,1,1
6kKC35sKUh2FUx4M0qAL44,Candy,231,77,gmgcRWxhmqY,75sPv82oaDKYjtuuS4l3Vc,1,1
0H4ugk6rhnXmTl47ayy9O5,Daechwita,269,82,qGjAWJ2zWWI,0zhGddZ83RpCgnelKWa2qS,2,1
0vFKaaqXkeaaC2iGtKRGyt,My Friend,166,62,-9uKaiCe0Qc,21Rd8YU3BI7P4PVtfsf9ji,1,1
2qI0Uchpdc2RkzuhbRnnZ8,Can't You See Me?,230,77,cMFHUTJ13Ys,2fL64wNyyZ4BwwRImYeora,2,1
3CYH422oy1cZNoo0GTG1TK,Psycho,216,80,uR8Mrt1IpXg,3rVtm00UfbuzWOewdm4iYM,1,1
2ljLbFotsy2hFxAkjpsfbb,Dumhdurum,221,68,WqzTRK5GPWQ,0mWs7UThGJG413FaTzPq9Y,1,1
0O22hXRIdbyrnMQk7VldC9,Punch,269,69,Iox2gdsberQ,64F7bFLt8ULAfBl2L4Pyv4,1,1
59lh6XYTsfhoXXTNU8TUrz,FANTASIA,192,69,p2JzPlpA1Iw,44BCatQBdneFkyzOVrR0M4,1,1
3As0OA5B06BxLfADvYyG8L,Stay Tonight,230,74,YPFIh0dfYfw,41rtmYpSvv0s6p4TJwTzrR,1,1
3CyCjgTHFzqucmECajq8QA,DUN DUN,209,75,NoYKBAajoyo,5ByQ39IHGxrddAwQcnxvoj,2,1
2DmRXiyn03tOqKgEJXlaiJ,Oh my god,201,75,om3n2ni8luE,57sl8AvqVqm4Fadre0z8FQ,1,1
4s0dJmVknlUl7V6oK3puzZ,Zombie,213,73,WehhSc1knYY,3JX0hnu8b55RtbtEdUSYor,2,1
5joNJn9LUvYcamWwa2iYCL,Nonstop,204,71,iDjQSdN_ig8,7J8Kp48L7RdLkpjSVrO5PY,1,1
0EMD15EVNwDlgGH2CH6ZEL,Ridin',212,74,vofjeJvRT9c,1V5ilz8ghPl1PZJA1hbw3r,1,1
2UBobeH9pS8Hm7v60MqTlA,Wing,222,58,_Gn-bfrembY,6XqSbtKtmWkEAYbXfzFkV6,2,1
1pmfd0ohjfh1qXPWvjaC1o,NOT BY THE MOON,237,74,ladClnnJhqg,5lX6uJNNwzEZU7TF1RyAdT,3,1
1Rk53ni9MhBXiksSSaKN7Y,Leo (feat. BAEKHYUN),203,61,L8UUYfe6-UA,1wnPosDt7DsSYDDLQ2XBdh,3,1
3IB5qOeMayvpOdHxYCL5tZ,ON (Feat. Sia),336,76,rsXLf5V5Av0,6mJZTV8lCqnwftYZa94bXS,20,1
1iIhGHzzrzqQfuNkFI2qAn,Any song,248,76,UuV2BmJ1p_I,7LYZM7I172wUjIKjCnxuAQ,1,1
